#dvd_title_id_f,title,release_date,award,label_id,sound_id,genre_id,rating_id,format_id
447,Bikini Hotel ,,,112,1,20,7,2
448,Bill Monroe:The Father Of Bluegrass,,,48,1,15,4,2
449,Billy Jack,,,134,1,9,5,8
450,Billy Madison ,,,127,1,7,6,8
451,Billy's Hollywood Screen Kiss,,,121,1,7,7,8
452,Bird Of Paradise (1932)/The Lady Refuses,,,108,1,9,4,2
453,Bird On a Wire ,,,127,1,2,6,8
454,Bird With The Crystal Plumage,,,128,7,13,5,8
455,"Birdcage, The ",,,74,3,7,7,2
456,Birds of the World ,,,82,1,20,4,2
457,Birth of a Nation ,,,55,1,6,4,2
458,"Bishop's Wife, The ",,,53,1,9,4,2
459,Bittersweet,,,95,7,2,7,4
460,Bizet's Carmen:The Movie,,,24,7,15,5,2
461,Bjork: Volumen,,,134,1,15,4,2
462,Bjork:All Is Full Of Love,,,134,1,15,4,2
463,Black & Beautiful: Adult Party Pack #4 ,,,68,1,20,4,2
464,Black & White:Special Edition,1999-12-06,,24,3,21,7,2
465,Black sdfsdf (1994),,,134,7,5,2,2
466,Black Cat,,,120,1,11,4,2
467,Black Cat 2,,,120,1,11,4,2
468,Black Cat Run,1999-11-29,,53,7,21,7,2
469,Black Death,1999-12-06,,55,7,21,4,4
470,Black Dog ,,,127,1,21,6,8
471,Black Eagle,2010-01-01,,117,1,2,7,2
472,"Black Hole, The ",,,11,1,19,5,2
473,Black Mask,1999-11-29,,13,3,2,7,8
474,Black Orpheus,,,26,1,11,4,2
475,Black Pirate: Special Edition,,,55,1,2,4,2
476,Black Rain,,,55,1,11,4,8
477,Black Rain ,,,92,1,2,7,8
478,Black Robe ,,,121,1,2,7,2
479,Black Sabbath,2010-01-01,,128,1,13,7,2
480,Black Sabbath:The Last Supper,,,115,3,15,4,4
481,Black Spring Break:The Movie,,,141,1,7,4,2
482,Black Stallion ,,,74,1,5,2,2
483,Black Sunday:Special Edition,,,55,7,13,4,8
484,Black Tulip ,,,112,1,3,2,2
485,Blackjack,,,16,7,2,7,4
486,Blackmail (1929)/Easy Virtue (Silent),,,28,1,21,4,2
487,Blade,,,87,1,2,7,8
488,Blade Of Fury,1999-12-06,,120,1,11,4,8
489,Blade Runner: The Director's Cut ,,,134,1,19,7,2
490,Blade: Special Edition,,,134,1,2,7,8
491,Blair Witch Project: Special Edition,,,13,7,13,7,4
492,Blast From The Past,,,87,3,7,6,2
